Text_name,file_name,text_type,grade_level,standards,total_words,UWD,UWD_div_total,number_sentences,avg_SL,DESC_div_total,SCONJ_div_total,ADP_div_total,max_arrow_length,avg_arrow_length
"“The Veldt,” by Ray Bradbury",Veldt.txt,prose,10,ALB,4745,1125,0.2371,512,9.2675,0.1272918862,0.01896733404,0.1022128556,45,2.5604
“The Negro Speaks of Rivers” by Langston Hughes,Negro_speaks.txt,poetry,11,CCS,103,63,0.6116,8,12.875,0.1165048544,0.02912621359,0.1262135922,23,2.5625
“Morning Glory” by Naomi Shihab Nye,Morning_glory.txt,poetry,9,CCS,264,162,0.6136,22,12,0.1212121212,0.04166666667,0.1174242424,44,2.5722
"“Glass Roses,” by Alden Nowlan",Glass_roses.txt,prose,12,ALB,2994,1040,0.3473,270,11.0888,0.1028724115,0.02371409486,0.1092184369,33,2.5861
"“Button, Button,” by Richard Matheson",Button.txt,prose,9,ALB,2121,679,0.3201,271,7.8265,0.08345120226,0.02545968883,0.09005186233,53,2.5912
"“Substance, Shadow, and Spirit” by T’ao Ch’ien",Substance.txt,poetry,10,CCS,456,267,0.5855,33,13.8181,0.1096491228,0.05263157895,0.08114035088,39,2.5939
"“A Small, Good Thing” by Raymond Carver",Small_good.txt,prose,11,CCS,9670,1482,0.1532,970,9.9691,0.1023784902,0.01892450879,0.1126163392,52,2.6001
"“Fifth Grade Autobiography,” by Rita Dove",Fifth_grade.txt,poetry,9,ALB,136,99,0.7279,9,15.1111,0.05882352941,0.02205882353,0.1544117647,25,2.6057
“The Man Who Was Almost a Man” by Richard Wright,Man_almost.txt,prose,11,CCS,4445,1122,0.2524,481,9.2411,0.096287964,0.0188976378,0.07986501687,40,2.6084
"“Paper Menagerie,” by Ken Liu",Paper_menag.txt,prose,11,ALB,4943,1260,0.2549,435,11.3632,0.1037831277,0.02508598017,0.1183491807,50,2.6164
"“The Child Who Walks Backwards,” by Lorna Crozier",Child_backwards.txt,poetry,10,ALB,144,101,0.7013,7,20.5714,0.04166666667,0.02083333333,0.1527777778,28,2.619
"“To Build a Fire,” by Jack London",Build_fire.txt,prose,9,ALB,6512,1212,0.1861,507,12.8441,0.1125614251,0.02641277641,0.1116400491,40,2.6329
“Conscientious Objector” by Edna St Vincent Millay,Conscientious.txt,poetry,11,CCS,201,110,0.5472,11,18.2727,0.02985074627,0.02487562189,0.1194029851,42,2.6363
"“The Sound of Thunder,” by Ray Bradbury",Sound_thunder.txt,prose,12,ALB,4342,1415,0.3258,494,8.7894,0.1190695532,0.01473975127,0.1038691847,45,2.6401
"“Travelling Through the Dark,” by William E. Stafford",Travelling_through.txt,poetry,12,ALB,158,112,0.7088,9,17.5555,0.1518987342,0,0.1139240506,22,2.6435
Village people by Bessie Head,Village_people.txt,prose,10,CCS,1877,676,0.3601,157,11.9554,0.1417155035,0.02983484283,0.09749600426,42,2.6514
"“The Guest,” by Albert Camus",Guest.txt,prose,12,ALB,5120,1293,0.2525,423,12.104,0.1158203125,0.016015625,0.1291015625,48,2.6545
"“He’ll Come Knocking at Your Door,” by Robert R. McCammon",He_come_knock.txt,prose,12,ALB,6135,1601,0.2609,589,10.4159,0.1005704971,0.01939690302,0.1149144254,54,2.6595
"“Nightcrawlers,” by Robert R. McCammon",Nightcrawler.txt,prose,11,ALB,8451,1971,0.2332,756,11.1785,0.1059046267,0.01680274524,0.1151343036,86,2.6696
"“Dancing Bear,” by Guy Vanderhaeghe",Dancing_bear.txt,prose,12,ALB,5563,1762,0.3167,547,10.17,0.1234945173,0.0165378393,0.1042602912,57,2.6841
"“The Landlady,” by Margaret Atwood",Landlady_atwood.txt,poetry,12,ALB,155,105,0.6774,10,15.5,0.09677419355,0.01290322581,0.1677419355,24,2.6872
"“The Wall,” by Jean-Paul Sartre",Wall.txt,prose,12,ALB,7326,1456,0.1987,617,11.8735,0.1051051051,0.01951951952,0.1003276003,41,2.6945
"“Test,” by Theodore L. Thomas",Test.txt,prose,9,ALB,1532,562,0.3668,110,13.9272,0.1318537859,0.009791122715,0.1174934726,32,2.6985
“The Secret Life of Walter Mitty” by James Thurber,Secret_mitty.txt,prose,9,CCS,2057,775,0.3767,212,9.7028,0.09625668449,0.01166747691,0.1254253768,32,2.7139
"“Just Lather, That’s All,” by Hernando Tellez",Just_lather.txt,prose,10,ALB,1904,660,0.3466,174,10.9425,0.1165966387,0.02205882353,0.106092437,41,2.7176
"“Harrison Bergeron,” by Kurt Vonnegut",Harrison_b.txt,prose,9,ALB,2193,769,0.3506,182,12.0494,0.1285909713,0.01915184679,0.10624715,37,2.7196
"“Changes,” by Tupac Shakur",Changes.txt,poetry,11,ALB,729,278,0.3813,42,17.3571,0.122085048,0.01783264746,0.0548696845,55,2.7236
"“The Rocking-Horse Winner,” by D.H. Lawrence",Rocking_horse.txt,prose,12,ALB,5442,1134,0.2083,507,10.7337,0.131569276,0.02774715178,0.08912164645,62,2.7251
“The Most Dangerous Game” by Richard Connell,Most_dangerous_game,prose,9,CCS,6538,1784,0.2728,538,12.1524,0.11945549098,0.02248394004,0.10293667788,38,2.728
“Suicide in the Trenches” by Siegfried Sassoon,Suicide_trenches.txt,poetry,12,CCS,80,69,0.8625,4,20,0.1125,0.025,0.1375,29,2.7378
"“Pretty,” by Katie Makkai",Pretty.txt,poetry,11,ALB,511,284,0.5557,46,11.1086,0.1213307241,0.02935420744,0.0939334638,37,2.7452
“The Darkling Thrush” by Thomas Hardy,Darkling_thrush.txt,poetry,9,CCS,165,136,0.8242,8,20.625,0.1636363636,0.0303030303,0.08484848485,24,2.75
"“The Red Convertible,” by Louise Erdrich",Red_convertible.txt,prose,10,ALB,4209,1064,0.2527,343,12.2711,0.1388,0.0299,0.1060,41,2.7588
"“Thank You Ma’am,” by Langston Hughes",Thank_you.txt,prose,9,ALB,1339,430,0.3211,110,12.1727,0.09783420463,0.02091112771,0.08364451083,41,2.7718
"“Chapter 1” from And the Mountains Echoed, by Khaled Hosseini",Mountains_echo.txt,prose,10,ALB,4924,1305,0.265,377,13.061,0.1043866775,0.02985377742,0.1035743298,74,2.7733
"“The Treasure of Lemon Brown,” by Walter Dean Myers",Treasure_lemon.txt,prose,9,ALB,3369,885,0.2626,270,12.4777,0.1023809524,0.02523003859,0.1018106263,40,2.7748
“Upon the Burning of Our House” by Anne Bradstreet,Burning_house.txt,poetry,11,CCS,355,224,0.6309,21,16.9047,0.1521126761,0.02535211268,0.08169014085,22,2.7782
"“Everyday Use,” by Alice Walker",Everyday_use.txt,prose,9,ALB,3604,1069,0.2966,281,12.8256,0.1071032186,0.02413984462,0.1187569367,45,2.7831
“Everyday Use” by Alice Walker,Everyday_use.txt,prose,9,CCS,3604,1069,0.2966,281,12.8256,0.1071032186,0.02413984462,0.1187569367,45,2.7831
"“The Artist at Work,” by Albert Camus",Artist_work.txt,prose,12,ALB,1718,593,0.3451,154,11.1558,0.131548312,0.02619324796,0.1169965076,43,2.7836
"“Story of an Hour,” by Kate Chopin",Story_hour.txt,prose,10,ALB,1012,471,0.4654,67,15.1044,0.1206,0.0188,0.1117,44,2.7952
"“Family Cooking,” by AnaMaria Curtis",Family_cook.txt,prose,9,ALB,4142,1150,0.2776,350,11.8342,0.1279575085,0.0280057943,0.09729599227,49,2.7999
“To My Dear and Loving Husband” by Anne Bradstreet,Dear_husband.txt,poetry,11,CCS,104,73,0.7019,7,14.8571,0.1634615385,0.08653846154,0.06730769231,20,2.8
"“Underdog,” by Alicia Keys ",Underdog.txt,poetry,11,ALB,402,138,0.3432,15,26.8,0.07960199005,0.01990049751,0.1044776119,45,2.8023
"“The Medicine Bag,” by Virginia Driving Hawk Sneve",Medicine_bag.txt,prose,10,ALB,3534,968,0.2739,244,14.4836,0.1083757782,0.03791737408,0.0973401245,34,2.8092
"“The Skating Party,” by Merna Summers",Skating_party.txt,prose,9,ALB,6536,1276,0.1952,465,14.0559,0.09179926561,0.03518971848,0.1006731946,51,2.8121
"“Teenage Wasteland,” by Anne Tyler",Teen_waste.txt,prose,10,ALB,3852,1178,0.3058,334,11.5329,0.1181204569,0.02414330218,0.08930425753,50,2.819
“Phantom Limbs” by Anne Michaels,Phantom_limbs.txt,poetry,9,CCS,216,156,0.7222,14,15.4285,0.1851851852,0.01388888889,0.125,32,2.8241
“I Ask My Mother to Sing” by Li-Young Lee,I_ask.txt,poetry,9,CCS,99,78,0.7878,7,14.1428,0.08080808081,0.0303030303,0.09090909091,36,2.8294
“The Sea of Lost Time” by Gabriel García Márquez,Sea_lost.txt,prose,10,CCS,6123,1347,0.2199,452,13.5464,0.1172627797,0.02351788339,0.120692471,46,2.8382
"""Rashomon"" by Ryunosuke Akutagawa",Rashomon.txt,prose,10,CCS,2191,791,0.361,131,16.7251,0.1241442264,0.02601551803,0.1337288909,38,2.8436
“Did I Miss Anything?” by Tom Wayman,Did_I_miss.txt,poetry,9,ALB,213,137,0.6431,12,17.75,0.0985915493,0.03286384977,0.1079812207,41,2.8521
"“Hero of War,” by Rise Against",Hero_war.txt,poetry,10,ALB,334,152,0.4551,15,22.2666,0.09281437126,0.03293413174,0.06886227545,77,2.8601
"“Totem,” by Thomas King",Totem.txt,prose,10,ALB,1298,464,0.3574,99,13.1111,0.09013867488,0.01771956857,0.1063174114,37,2.89
"“Money,” by Poetri",Money.txt,poetry,9,ALB,487,236,0.4845,28,17.3928,0.1519507187,0.03285420945,0.0636550308,60,2.9056
“The Death of the Hired Man” by Robert Frost,Death_hired.txt,poetry,11,CCS,1418,545,0.3843,129,10.9922,0.1086036671,0.02891396333,0.09802538787,47,2.9121
“Domination of Black” by Wallace Stevens,Domination_black.txt,poetry,11,CCS,189,70,0.3703,11,17.1818,0.03174603175,0.02116402116,0.1904761905,58,2.9196
“The Rime of the Ancient Mariner” by Samuel Taylor Coleridge,Rime_mariner.txt,poetry,10,ALB,3887,1200,0.3087,260,14.95,0.1301775148,0.02006688963,0.08978646771,70,2.9258
"""The Rime of the Ancient Mariner"" by Samuel Taylor Coleridge",Rime_mariner.txt,poetry,12,CCS,3887,1200,0.3087,260,14.95,0.1301775148,0.02006688963,0.08978646771,70,2.9258
"“There Will Come Soft Rains,” by Ray Bradbury",Soft_rains.txt,prose,10,ALB,2074,920,0.4435,163,12.7239,0.1195756991,0.01639344262,0.1224686596,67,2.9273
In her absence I create her image by Mahmoud Darwish,Her_absence.txt,poetry,10,CCS,242,131,0.5413,18,13.4444,0.0867768595,0.03305785124,0.132231405,28,2.9294
“The Secret Miracle” by Jorge Luis Borges,Secret_miracle.txt,prose,10,CCS,2473,1007,0.4071,155,15.9548,0.1116053376,0.01819652244,0.1277800243,48,2.9366
“Saturday’s Child” by Countée Cullen,Saturdays_child.txt,poetry,9,CCS,123,88,0.7154,6,20.5,0.07317073171,0.0162601626,0.1219512195,29,2.9393
"“Lamb to the Slaughter,” by Roald Dahl",Lamb_slaughter.txt,prose,9,ALB,3488,898,0.2574,271,12.8708,0.1370412844,0.02436926606,0.1080848624,87,2.942
"“The Ones Who Stay and Fight,” by N.K. Jemisin",Ones_stay.txt,prose,11,ALB,3858,1340,0.3473,283,13.6325,0.1518921721,0.03525142561,0.09020217729,44,2.9478
"“Workshop,” by Billy Collins",Workshop.txt,poetry,10,ALB,543,279,0.5138,33,16.4545,0.138121547,0.02946593002,0.09944751381,46,2.9495
“Spring and Fall” by Gerard Manley Hopkins,Spring_fall.txt,poetry,12,CCS,94,74,0.7872,7,13.4285,0.09574468085,0.03191489362,0.1170212766,32,2.9687
“The Answer is No” by Naguib Mahfouz,Answer_no.txt,prose,10,CCS,1194,480,0.402,83,14.3855,0.1147403685,0.0242881072,0.108040201,45,2.9694
"“The Merchant and the Alchemist’s Gate,” by Ted Chiang",Merchant_alchemist.txt,prose,12,ALB,10606,2009,0.1894,669,15.8535,0.09956628324,0.03526305865,0.09673769564,79,2.9741
"“A Hundred Bucks of Happy,” by Susan Beth Pfeffer",Hundred_bucks.txt,prose,10,ALB,3024,849,0.2807,208,14.5384,0.1011904762,0.02843915344,0.1008597884,44,2.9811
"“The Lottery,” by Shirley Jackson",Lottery.txt,prose,11,ALB,3274,850,0.2596,233,14.0515,0.120647526,0.0180207697,0.1096518021,60,2.9919
"“The Necklace,” by Guy de Maupassant",Necklace.txt,prose,11,ALB,2787,957,0.3433,211,13.2085,0.1173304629,0.02224614281,0.1123071403,64,2.9929
“Tableau” by Countee Cullen,Tableau.txt,poetry,11,CCS,71,57,0.8028,3,23.6666,0.1408450704,0.01408450704,0.0985915493,27,3
"“On the Rainy River,” by Tim O’Brien",Rainy_river.txt,prose,12,ALB,6712,1906,0.2839,463,14.4967,0.1328963051,0.01996424315,0.112932062,193,3.0048
“The Wild Honeysuckle” by Philip Freneau,Wild_Honeysuckle.txt,poetry,11,CCS,148,119,0.8041,7,21.1428,0.1486486486,0.01351351351,0.08108108108,28,3.0049
“Roman Fever” by Edith Wharton,Roman_fever.txt,prose,11,CCS,4822,1308,0.2712,384,12.5572,0.1515968478,0.0267523849,0.110120282,80,3.0051
Sonnet 40 by William Shakespeare,Sonnet_40.txt,poetry,12,CCS,120,83,0.6916,7,17.1428,0.1333333333,0.03333333333,0.075,25,3.0063
“The Garden of Forking Paths” by Jorge Luis Borges,Garden_forking.txt,prose,10,CCS,4285,1385,0.3232,270,15.8703,0.1246207701,0.02263710618,0.1325554259,75,3.0246
“Campo di Fiori” by Czeslaw Milosz,Campo_fiori.txt,poetry,9,CCS,323,202,0.6253,16,20.1875,0.0866873065,0.03095975232,0.1547987616,43,3.0306
"“The Painted Door,” by Sinclair Ross",Painted_door.txt,prose,12,ALB,8165,1808,0.2214,562,14.5284,0.157379057,0.02829148806,0.1050826699,54,3.0336
"“Sonnet 130,” by Willliam Shakespeare ",Sonnet_130.txt,poetry,11,ALB,123,87,0.7073,5,24.6,0.1544715447,0.0325203252,0.1056910569,24,3.0445
Sonnet 130 by William Shakespeare,Sonnet_130.txt,poetry,12,CCS,123,87,0.7073,5,24.6,0.1544715447,0.0325203252,0.1056910569,24,3.0445
“To the Virgins to Make Much of Time” by Robert Herrick,Virgins_time.txt,poetry,12,CCS,99,76,0.7676,5,19.8,0.1717171717,0.0303030303,0.0303030303,31,3.0579
"“Desiree’s Baby,” by Kate Chopin",Desiree_baby.txt,prose,11,ALB,2155,774,0.3591,137,15.7299,0.1229698376,0.03016241299,0.105800464,46,3.059
"“The Landlady,” by Roald Dahl",Landlady_dahl.txt,prose,10,ALB,3520,966,0.2744,272,12.9411,0.1556818182,0.02017045455,0.1105113636,67,3.0614
“The Flea” by John Donne,Flea.txt,poetry,12,CCS,207,127,0.6135,8,25.875,0.1111111111,0.06280193237,0.08212560386,32,3.0662
"“Sonny’s Blues,” by James Baldwin",Sonnys_blues.txt,prose,12,ALB,13698,2541,0.1855,999,13.7117,0.12636881,0.02963936,0.09556140,63,3.0664
"“The Yellow Wallpaper,” by Charlotte Perkins Gilman",Yellow_wallpaper.txt,prose,12,ALB,6138,1264,0.2059,389,15.7789,0.1650374715,0.03079178886,0.09156076898,55,3.0709
“In Time of Silver Rain” by Langston Hughes,Silver_rain.txt,poetry,9,CCS,84,57,0.6785,3,28,0.1071428571,0.0119047619,0.1904761905,36,3.0714
“The Tell-Tale Heart” by Edgar Allan Poe,Tell_tale.txt,prose,9,CCS,2154,680,0.3156,164,13.1341,0.1550603528,0.03853296193,0.09006499536,47,3.0774
"“The Sniper,” by Liam O’Flaherty",Sniper.txt,prose,9,ALB,11410,2385,0.209,719,15.8692,0.1170902717,0.02927256792,0.1190184049,94,3.0836
Sonnet 116 by William Shakespeare,Sonnet_116.txt,poetry,12,CCS,109,80,0.7339,5,21.8,0.08256880734,0.04587155963,0.09174311927,20,3.0915
"“The Unknown Citizen,” by W.H. Auden",Unknown_citizen.txt,poetry,11,ALB,289,173,0.5986,14,20.6428,0.0830449827,0.04498269896,0.1003460208,32,3.0932
"“A Brief Moment in the Life of Angus Bethune,” by Chris Crutcher",Angus_bethune.txt,prose,10,ALB,5555,1615,0.2907,394,14.0989,0.1206120612,0.02214221422,0.1152115212,74,3.0936
“To His Excellency General Washington” by Phillis Wheatley,Gen_washington.txt,poetry,11,CCS,298,219,0.7348,21,14.1904,0.1208053691,0.02684563758,0.1241610738,38,3.0987
“An Hymn to the Evening” by Phillis Wheatley,Hymn_evening.txt,poetry,11,CCS,137,105,0.7664,6,22.8333,0.1459854015,0.01459854015,0.1094890511,22,3.1038
“On Being Brought from Africa to America” by Phillis Wheatley,On_being_brought.txt,poetry,11,CCS,57,53,0.9298,3,19,0.1403508772,0.05263157895,0.05263157895,28,3.1084
"“To My Enemy,” by Lucy Maude Montgomery",My_enemy.txt,poetry,9,ALB,130,98,0.7538,6,21.6666,0.1307692308,0.01538461538,0.1153846154,28,3.1091
How Much Land Does a Man Need?” by Leo Tolstoy,How_much_land.txt,prose,9,CCS,6163,1250,0.2028,370,16.6567,0.1113094272,0.02839526205,0.09800421872,52,3.1098
"“What the Sky Sees,” by Jon McGregor",What_sky.txt,prose,11,ALB,9511,1745,0.1834,458,20.7663,0.1030385869,0.0290190306,0.113447587,59,3.1189
"“The White Knight,” by Eric Nicol",White_knight.txt,prose,10,ALB,713,323,0.453,34,20.9705,0.1458625526,0.02384291725,0.1023842917,39,3.1207
"“Marigolds,” by Eugenia Colier",Marigolds.txt,prose,12,ALB,3882,1262,0.3251,228,17.0263,0.1458011334,0.03013910355,0.1115404431,59,3.1236
“A Good Man is Hard to Find” by Flannery O’Connor,Good_man.txt,prose,11,CCS,6466,1377,0.2129,449,14.4008,0.09665944943,0.02536343953,0.1060934117,126,3.1268
"“If We Must Die,” by Claude McKay",If_must.txt,poetry,11,ALB,116,86,0.7413,7,16.5714,0.1465517241,0.06896551724,0.06896551724,34,3.1275
"“The House that Made Sixteen Loops of Time,” by Tamsyn Muir",House_sixteen.txt,prose,9,ALB,4776,1398,0.2927,304,15.7105,0.1245812395,0.02994137353,0.094639866,64,3.1301
"“Introduction to Poetry,” by Billy Collins",Intro_poetry.txt,poetry,9,ALB,109,70,0.6422,5,21.8,0.03669724771,0,0.1559633028,33,3.1439
“Archaic Torso of Apollo” by Rainer Maria Rilke,Torso_apollo.txt,poetry,12,CCS,116,86,0.7413,5,23.2,0.1293103448,0.008620689655,0.1465517241,34,3.1458
"“Shovelling Snow With Buddha,” by Billy Collins",Shoveling_snow.txt,poetry,10,ALB,367,220,0.5994,17,21.5882,0.1416893733,0.02179836512,0.1253405995,58,3.1525
“The Nymph’s Reply to the Shepherd” by Sir Walter Raleigh,Nymphs_reply.txt,poetry,12,CCS,166,115,0.6927,7,23.7142,0.0783132530,0.01204819277,0.07831325301,26,3.1541
“Lord Randall” by Anonymous,Lord_randall.txt,poetry,9,CCS,198,57,0.2878,2,16.5,0.1464646465,0.04545454545,0.03535353535,27,3.1543
“Petrified Man” by Eudora Welty,Petrified.txt,prose,11,CCS,5359,1218,0.2272,447,11.9888,0.1149468184,0.0220190334,0.0873297257,111,3.1549
"“The Wreck of the Hesperus,” by Henry Wadsworth Longfellow",Wreck_hesperus.txt,poetry,9,ALB,589,304,0.5161,33,17.8484,0.08319185059,0.01188455008,0.1120543294,36,3.159
“No One Writes to the Colonel” by Gabriel García Márquez,No_writes.txt,prose,10,CCS,18120,3914,0.2157,1697,10.9345,0.08189845,0.02246137,0.12119205,95,3.1596
"“Boys and Girls,” by Alice Munro",Boys_girls.txt,prose,12,ALB,6321,1549,0.2451,354,17.8559,0.1137478247,0.02262300269,0.1173864895,75,3.1603
“Sleepy” by Anton Chekhov,Sleepy.txt,prose,10,CCS,2304,707,0.3068,138,16.6956,0.09765625,0.02300347222,0.1015625,65,3.1626
“The Snows of Kilimanjaro” by Ernest Hemingway,Snows_kil.txt,prose,11,CCS,9190,1815,0.1974,649,14.1602,0.124265506,0.03101196953,0.09325353645,90,3.1732
“The Swimmer” by John Cheever,Swimmer.txt,prose,11,CCS,4925,1388,0.2818,265,18.3085,0.09421319797,0.0261928934,0.1108629442,57,3.1819
“The Passionate Shepherd to His Love” by Christopher Marlowe,Passionate_shepherd.txt,poetry,12,CCS,157,105,0.6687,6,26.1666,0.07643312102,0.02547770701,0.1082802548,48,3.1826
"“Still I Rise,” by Maya Angelou",I_rise.txt,poetry,11,ALB,238,130,0.5462,12,19.8333,0.0714,0.0210,0.1429,34,3.1871
"“Courtesy of the Red, White and Blue,” by Toby Keith",Courtesy_red.txt,poetry,10,ALB,320,161,0.5031,10,32,0.121875,0.034375,0.115625,67,3.1897
“The Gift” by Li-Young Lee,Gift.txt,poetry,9,CCS,210,134,0.6381,13,16.1538,0.05238095238,0.03333333333,0.07619047619,47,3.1985
"“The Man,” by Taylor Swift",Man_ts.txt,poetry,11,ALB,418,118,0.2822,16,26.125,0.1531100478,0.07177033493,0.06698564593,72,3.2068
The Conference of the Birds by Farīd al Dīn Attār,Conference_birds.txt,poetry,10,CCS,4648,1509,0.3246,216,21.5185,0.1084337349,0.02538726334,0.1006884682,74,3.2103
“The Star-Spangled Banner” by Francis Scott Key,Star_spangled.txt,poetry,11,CCS,303,167,0.5511,12,25.25,0.1254125413,0.02310231023,0.09900990099,40,3.2163
“Rothschild’s Fiddle” by Anton Chekhov,Rothschild.txt,prose,10,CCS,4180,1171,0.2801,237,17.6371,0.1232057416,0.03253588517,0.1074162679,57,3.2294
Sonnet 43 by Elizabeth Barrett Browning,Sonnet_43.txt,poetry,12,CCS,128,79,0.6171,9,14.2222,0.0703125,0.0390625,0.140625,31,3.2317
"“The Highwayman,” by Alfred Noyes",Highwayman.txt,poetry,9,ALB,1029,376,0.3654,61,16.8688,0.08649173955,0.01652089407,0.1428571429,47,3.2317
“Upon a Spider Catching a Fly” by Edward Taylor,Spider_catch.txt,poetry,11,CCS,194,149,0.768,11,17.6363,0.118556701,0.03092783505,0.09793814433,26,3.2419
"“Where Are You Going, Where Have You Been?” by Joyce Carol Oates",Where_going.txt,prose,11,CCS,6902,1400,0.2028,453,15.2362,0.1261953057,0.03042596349,0.1038829325,95,3.2454
“The Indian Burying Ground” by Philip Freneau,Indian_burial.txt,poetry,11,CCS,250,173,0.692,13,19.2307,0.136,0.02,0.076,29,3.2485
"“Casey at Bat,” by Ernest Lawrence Thayer",Casey_bat.txt,poetry,9,ALB,579,302,0.5215,24,24.125,0.1070811744,0.02936096718,0.1001727116,43,3.249
"“The Ones Who Walk Away from Omelas,” by Ursula K. LeGuin",Omelas.txt,prose,11,ALB,2826,1028,0.3637,164,17.2317,0.1450813871,0.02300070771,0.11712668082,61,3.2491
“The Black Cat” by Edgar Allan Poe,Black_cat.txt,prose,9,CCS,3934,1305,0.3317,190,20.7052,0.1370106762,0.02643619725,0.1352313167,60,3.251
"“London, 1802” by William Wordsworth",London_1802.txt,poetry,12,CCS,108,93,0.8611,6,18,0.1759259259,0,0.1203703704,48,3.2751
"“A Consecration,” by Tom Dawe",Consecration.txt,poetry,10,ALB,117,85,0.7264,5,23.4,0.1025641026,0.04273504274,0.08547008547,37,3.2847
“The Nose” by Nikolai Gogol,Nose.txt,prose,10,CCS,9097,2000,0.2198,504,18.0496,0.1219083214,0.02902055623,0.1139936243,64,3.2854
“Harlem” by Langston Hughes,Harlem.txt,poetry,11,CCS,51,37,0.7254,5,10.2,0.137254902,0,0.1764705882,21,3.2857
"“The Lady of Shalott” by Alfred, Lord Tennyson",Lady_shalott.txt,poetry,9,CCS,992,496,0.5,48,20.6666,0.125,0.01713709677,0.1360887097,41,3.2862
“To Urania” by Joseph Brodsky,Urania.txt,poetry,10,CCS,158,128,0.8101,10,15.8,0.1582278481,0.0253164557,0.08860759494,44,3.2864
“In the Dordogne” by John Peale Bishop,In_dordogne.txt,poetry,11,CCS,310,168,0.5419,10,31,0.08709677419,0.02580645161,0.1548387097,46,3.2886
“The Nun’s Priest’s Tale” by Geoffrey Chaucer,Nuns_priest.txt,poetry,12,CCS,5106,1629,0.319,261,19.5632,0.1157461810,0.02820211516,0.09831570701,98,3.2901
"“Click Clack the Rattlebag,” by Neil Gaiman",Click_clack.txt,prose,9,ALB,1398,455,0.3254,126,11.0952,0.1337625179,0.02789699571,0.09442060086,66,3.3066
